CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,TotalCharges
CUST0030,Male,1,Yes,Yes,34,No,No phone service,Fiber optic,No,No internet service,Yes,No,No,No,Two year,Yes,Credit card (automatic),84.27,No,2865.18
CUST0031,Male,1,No,No,17,Yes,No phone service,No,No,No internet service,Yes,Yes,No internet service,No,One year,Yes,Mailed check,39.58,No,672.86
CUST0032,Female,1,Yes,Yes,8,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,No,Two year,No,Mailed check,109.7,No,877.6
CUST0033,Female,1,No,Yes,57,No,No phone service,No,No,No internet service,No,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),72.02,Yes,4105.14
CUST0034,Female,1,No,No,16,Yes,No phone service,DSL,No,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Mailed check,64.76,No,1036.16
CUST0035,Male,1,No,No,6,Yes,Yes,No,No internet service,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),75.78,Yes,454.68
CUST0036,Female,1,No,Yes,45,Yes,No,No,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),36.6,No,1647.0
CUST0037,Male,1,No,Yes,12,No,No,No,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,81.35,No,976.2
CUST0038,Male,0,Yes,No,39,No,No,No,Yes,No internet service,No internet service,No,No internet service,No,One year,No,Bank transfer (automatic),56.31,No,2196.09
CUST0039,Male,1,Yes,No,41,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,109.72,No,4498.52
CUST0040,Male,1,Yes,No,8,No,No phone service,DSL,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),36.89,No,295.12
CUST0041,Male,0,No,No,49,Yes,No,No,Yes,No internet service,No,No,Yes,No,Month-to-month,Yes,Electronic check,70.71,No,3464.79
CUST0042,Female,1,Yes,No,26,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Credit card (automatic),79.81,No,2075.06
CUST0043,Female,0,No,Yes,65,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,23.34,Yes,1517.1
CUST0044,Female,0,No,No,4,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,56.37,No,225.48
CUST0045,Female,1,Yes,Yes,28,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,93.26,Yes,2611.28
CUST0046,Female,0,Yes,Yes,36,No,No phone service,DSL,No internet service,No,No internet service,No,No internet service,No internet service,Two year,No,Mailed check,102.04,No,3673.44
CUST0047,Male,0,No,Yes,37,No,Yes,No,No internet service,No,No,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),51.32,No,1898.84
CUST0048,Female,0,Yes,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No,Yes,Two year,No,Credit card (automatic),99.86,Yes,699.02
CUST0049,Female,0,No,Yes,64,No,Yes,Fiber optic,No,No,Yes,Yes,No internet service,No internet service,Two year,Yes,Credit card (automatic),116.78,No,7473.92
CUST0050,Male,1,No,Yes,16,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,105.69,No,1691.04
CUST0051,Female,0,No,No,70,No,No phone service,Fiber optic,No internet service,No,No internet service,No,No,No,Two year,No,Bank transfer (automatic),31.76,No,2223.2
CUST0052,Male,1,No,Yes,44,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),93.97,No,4134.68
CUST0053,Female,0,No,Yes,3,Yes,No,DSL,No,Yes,Yes,No internet service,No,Yes,One year,No,Credit card (automatic),51.97,Yes,155.91
CUST0054,Male,0,Yes,No,35,Yes,No phone service,No,No,No,No,No,No,No internet service,One year,No,Electronic check,118.84,No,4159.4
CUST0055,Female,0,Yes,Yes,69,No,No phone service,DSL,Yes,No internet service,No,No,No,Yes,One year,Yes,Credit card (automatic),68.54,No,4729.26
CUST0056,Female,0,No,Yes,30,No,No,DSL,Yes,No,No internet service,No,Yes,No internet service,One year,Yes,Electronic check,32.24,No,967.2
CUST0057,Male,1,No,Yes,18,No,No phone service,DSL,No,Yes,No,No,No internet service,No,Two year,Yes,Mailed check,92.52,No,1665.36
CUST0058,Male,1,Yes,No,60,No,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),52.3,No,3138.0
CUST0059,Male,0,Yes,No,53,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),119.71,No,6344.63
CUST0060,Male,0,No,No,38,No,No,No,No internet service,No internet service,Yes,Yes,No,No internet service,Month-to-month,No,Mailed check,117.98,Yes,4483.24
CUST0061,Male,1,Yes,Yes,18,No,No,DSL,No internet service,No internet service,Yes,No,No,No,One year,Yes,Mailed check,85.61,No,1540.98
CUST0062,Male,0,No,Yes,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,32.98,No,1253.24
CUST0063,Male,0,Yes,No,66,Yes,Yes,No,No,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),88.69,Yes,5853.54
CUST0064,Male,0,No,Yes,44,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No,No,Yes,One year,No,Bank transfer (automatic),29.3,No,1289.2
CUST0065,Female,1,Yes,Yes,12,No,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),22.94,Yes,275.28
CUST0066,Female,1,No,No,57,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),102.3,No,5831.1
CUST0067,Male,1,Yes,No,19,Yes,No phone service,No,No,Yes,Yes,No internet service,No,No,Month-to-month,No,Credit card (automatic),40.98,No,778.62
CUST0068,Female,0,Yes,Yes,71,Yes,No phone service,No,Yes,No internet service,Yes,No,Yes,No,Month-to-month,No,Mailed check,57.9,No,4110.9
CUST0069,Female,0,No,Yes,60,No,Yes,No,No,No,Yes,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),117.35,Yes,7041.0
CUST0070,Female,1,Yes,Yes,38,Yes,No,No,No,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,53.68,No,2039.84
CUST0071,Female,1,No,No,0,No,Yes,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),49.65,No,0.0
CUST0072,Male,1,Yes,No,2,No,No phone service,Fiber optic,Yes,No,No,No internet service,No internet service,Yes,One year,No,Credit card (automatic),111.82,No,223.64
CUST0073,Female,1,No,No,61,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,31.07,No,1895.27
CUST0074,Male,0,Yes,No,62,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),95.96,No,5949.52
CUST0075,Female,1,No,Yes,24,No,No,DSL,Yes,No internet service,No internet service,No internet service,No,Yes,One year,No,Mailed check,118.81,No,2851.44
CUST0076,Female,0,Yes,No,55,Yes,No,DSL,Yes,No internet service,Yes,Yes,No internet service,No,One year,Yes,Electronic check,110.13,No,6057.15
CUST0077,Female,1,No,No,32,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No internet service,Yes,One year,Yes,Electronic check,85.17,No,2725.44
CUST0078,Male,0,Yes,No,37,No,Yes,No,No internet service,Yes,No,No,Yes,No internet service,Month-to-month,No,Mailed check,51.41,No,1902.17
CUST0079,Female,1,No,No,5,No,Yes,Fiber optic,No,Yes,No internet service,No internet service,Yes,No,Two year,Yes,Credit card (automatic),45.43,No,227.15
CUST0080,Male,1,No,No,57,Yes,Yes,DSL,Yes,No internet service,No,Yes,No internet service,Yes,Two year,No,Electronic check,101.93,No,5810.01
CUST0081,Female,1,No,Yes,43,No,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,No,One year,Yes,Electronic check,107.98,No,4643.14
CUST0082,Male,1,Yes,Yes,44,Yes,No phone service,No,No internet service,Yes,Yes,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),72.54,Yes,3191.76
CUST0083,Female,0,No,No,31,Yes,No,No,No internet service,No,No,Yes,No internet service,Yes,One year,Yes,Credit card (automatic),44.43,Yes,1377.33
CUST0084,Male,1,Yes,Yes,44,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),31.29,Yes,1376.76
CUST0085,Male,0,No,No,60,No,No,Fiber optic,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),28.72,Yes,1723.2
CUST0086,Female,0,Yes,No,46,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,91.91,No,4227.86
CUST0087,Male,0,No,Yes,20,Yes,Yes,DSL,No,Yes,No,No internet service,No internet service,Yes,Two year,Yes,Mailed check,62.01,No,1240.2
CUST0088,Female,0,Yes,Yes,35,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),110.54,No,3868.9
CUST0089,Female,1,Yes,No,18,No,Yes,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Two year,No,Electronic check,93.97,No,1691.46
CUST0090,Female,0,No,No,19,No,No,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,39.13,No,743.47
CUST0091,Female,0,Yes,No,56,No,No phone service,No,Yes,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Credit card (automatic),81.38,No,4557.28
CUST0092,Female,0,Yes,Yes,17,No,No,No,No internet service,No internet service,No,No,No,No internet service,Two year,No,Mailed check,63.55,No,1080.35
CUST0093,Female,1,No,No,46,No,No phone service,DSL,No internet service,Yes,No,No,No internet service,No,Month-to-month,No,Electronic check,77.72,No,3575.12
CUST0094,Female,1,Yes,No,48,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),93.81,No,4502.88
CUST0095,Female,1,Yes,No,13,No,No,No,Yes,No,Yes,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),100.62,Yes,1308.06
CUST0096,Female,1,Yes,Yes,14,No,Yes,No,Yes,Yes,No,No,Yes,No,Two year,No,Mailed check,104.37,No,1461.18
CUST0097,Female,0,No,No,30,No,No phone service,No,No,No internet service,No internet service,Yes,Yes,No internet service,Two year,Yes,Bank transfer (automatic),45.4,No,1362.0
CUST0098,Female,0,Yes,No,0,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),23.11,No,0.0
CUST0099,Male,1,No,Yes,53,No,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,93.93,Yes,4978.29
CUST0100,Male,0,Yes,No,2,No,Yes,No,Yes,No internet service,Yes,No internet service,Yes,No internet service,Two year,No,Credit card (automatic),30.63,No,61.26
CUST0101,Female,0,Yes,No,15,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No,Two year,Yes,Credit card (automatic),51.49,No,772.35
CUST0102,Female,0,Yes,Yes,56,No,Yes,Fiber optic,No,No,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),20.38,Yes,1141.28
CUST0103,Female,1,No,No,11,Yes,Yes,DSL,No internet service,No internet service,No,No,No,No,Month-to-month,No,Credit card (automatic),88.17,No,969.87
CUST0104,Female,1,Yes,Yes,15,Yes,No phone service,No,No internet service,No,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),36.71,No,550.65
CUST0105,Female,0,Yes,Yes,71,Yes,No phone service,No,Yes,No internet service,No internet service,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),85.53,No,6072.63
CUST0106,Female,1,No,No,23,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,No,No,Two year,No,Credit card (automatic),119.17,Yes,2740.91
CUST0107,Female,1,Yes,No,27,Yes,No,No,No internet service,No,No,No internet service,Yes,No,One year,No,Bank transfer (automatic),27.27,No,736.29
CUST0108,Female,1,No,No,7,No,Yes,DSL,Yes,No,No internet service,Yes,Yes,No,Two year,No,Electronic check,27.71,No,193.97
CUST0109,Male,1,No,No,35,Yes,No phone service,DSL,No,No,Yes,Yes,No,Yes,Two year,No,Mailed check,54.04,No,1891.4
CUST0110,Female,1,Yes,Yes,7,Yes,No phone service,DSL,No,Yes,Yes,Yes,Yes,No internet service,Two year,No,Mailed check,106.64,Yes,746.48
CUST0111,Male,0,No,No,57,No,No phone service,No,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),41.55,No,2368.35
CUST0112,Female,1,Yes,Yes,59,Yes,No,No,No,Yes,No,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),56.04,No,3306.36
CUST0113,Female,0,No,No,49,No,No,No,Yes,Yes,Yes,No internet service,No internet service,No,Two year,No,Credit card (automatic),26.85,No,1315.65
CUST0114,Male,0,No,No,27,No,No phone service,No,No internet service,Yes,No internet service,No,No internet service,No,Two year,Yes,Mailed check,96.32,No,2600.64
CUST0115,Female,1,Yes,No,40,No,No phone service,No,No internet service,No,No,No internet service,No,No,One year,Yes,Electronic check,60.83,Yes,2433.2
CUST0116,Male,0,No,Yes,63,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,95.92,No,6042.96
CUST0117,Female,0,No,No,26,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No internet service,Month-to-month,No,Mailed check,110.36,Yes,2869.36
CUST0118,Female,0,No,No,62,Yes,No phone service,DSL,Yes,Yes,Yes,No,No internet service,No,One year,Yes,Electronic check,43.28,No,2683.36
CUST0119,Male,1,No,No,16,No,No phone service,No,No,No internet service,Yes,No,No internet service,Yes,One year,No,Mailed check,100.74,Yes,1611.84
CUST0120,Female,1,No,No,32,Yes,Yes,DSL,No internet service,No,No,Yes,No internet service,No internet service,One year,Yes,Electronic check,25.91,No,829.12
CUST0121,Male,0,Yes,Yes,28,Yes,Yes,No,No,No internet service,No internet service,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),109.88,No,3076.64
CUST0122,Female,1,No,No,12,Yes,No,No,No internet service,No,No,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),85.08,No,1020.96
CUST0123,Male,1,Yes,Yes,45,No,No phone service,DSL,Yes,No internet service,No,No,Yes,No,Month-to-month,No,Mailed check,107.42,Yes,4833.9
CUST0124,Male,1,No,Yes,34,No,No phone service,No,No internet service,Yes,Yes,Yes,No,No internet service,Two year,No,Electronic check,20.02,No,680.68
CUST0125,Female,1,Yes,Yes,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),36.91,Yes,184.55
CUST0126,Female,0,Yes,Yes,68,Yes,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,58.98,No,4010.64
CUST0127,Male,0,No,Yes,46,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,No,One year,No,Bank transfer (automatic),57.95,No,2665.7
CUST0128,Female,1,No,Yes,24,Yes,Yes,Fiber optic,No,No internet service,No,No,Yes,No,Two year,No,Bank transfer (automatic),42.67,No,1024.08
CUST0129,Female,1,No,No,65,No,Yes,No,No internet service,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,58.16,No,3780.4
CUST0130,Female,0,Yes,Yes,9,No,Yes,DSL,No,No internet service,Yes,Yes,No,No,Two year,No,Electronic check,32.88,No,295.92
CUST0131,Male,0,No,Yes,55,No,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),61.28,Yes,3370.4
CUST0132,Male,1,Yes,Yes,29,No,No phone service,DSL,Yes,Yes,Yes,Yes,No internet service,No,One year,No,Credit card (automatic),100.24,No,2906.96
CUST0133,Male,0,Yes,No,4,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,67.91,No,271.64
CUST0134,Male,1,Yes,No,32,Yes,No,No,Yes,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,21.8,No,697.6
CUST0135,Male,1,No,Yes,64,Yes,No,No,No internet service,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,62.14,Yes,3976.96
CUST0136,Male,0,No,No,17,No,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,22.72,No,386.24
CUST0137,Male,0,Yes,Yes,48,Yes,No,No,No internet service,Yes,No,No,Yes,No internet service,One year,No,Mailed check,116.62,No,5597.76
CUST0138,Male,1,Yes,Yes,10,No,Yes,Fiber optic,No internet service,No,No internet service,Yes,No,No,Two year,Yes,Electronic check,32.75,No,327.5
CUST0139,Male,1,No,No,25,No,No phone service,No,Yes,No internet service,No,No,Yes,Yes,One year,Yes,Credit card (automatic),90.77,No,2269.25
CUST0140,Female,0,Yes,Yes,62,Yes,No,DSL,No,No internet service,No,No internet service,No,No,Two year,Yes,Bank transfer (automatic),117.28,No,7271.36
CUST0141,Male,1,No,No,58,Yes,Yes,No,No internet service,No,No internet service,No internet service,Yes,No,One year,No,Mailed check,102.6,Yes,5950.8
CUST0142,Female,0,Yes,No,26,Yes,No,DSL,No,No internet service,No,No,No internet service,No,One year,Yes,Electronic check,89.93,Yes,2338.18
CUST0143,Female,1,No,Yes,48,No,No,No,No internet service,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),103.95,No,4989.6
CUST0144,Female,0,Yes,Yes,32,Yes,Yes,DSL,No internet service,No internet service,No,Yes,No,No internet service,Two year,No,Mailed check,118.18,Yes,3781.76
CUST0145,Male,0,No,No,0,No,No phone service,No,No,Yes,No,No,Yes,No internet service,One year,Yes,Bank transfer (automatic),82.13,No,0.0
CUST0146,Male,0,Yes,Yes,20,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,Yes,Yes,One year,No,Electronic check,75.92,No,1518.4
CUST0147,Male,1,No,Yes,54,No,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,82.82,Yes,4472.28
CUST0148,Male,1,No,Yes,5,No,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),73.27,Yes,366.35
CUST0149,Female,0,Yes,No,68,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,No,Yes,Two year,No,Electronic check,83.51,Yes,5678.68
CUST0150,Male,1,Yes,No,4,No,Yes,No,No,No internet service,Yes,No internet service,No internet service,Yes,One year,Yes,Electronic check,64.98,No,259.92
CUST0151,Male,0,No,Yes,2,No,Yes,DSL,No internet service,No,No internet service,No internet service,Yes,No,Two year,Yes,Mailed check,41.84,No,83.68
CUST0152,Male,0,Yes,No,52,Yes,No phone service,No,No internet service,No,Yes,No,No,Yes,One year,No,Credit card (automatic),32.02,No,1665.04
CUST0153,Male,1,No,No,22,No,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,No,Two year,No,Mailed check,26.83,No,590.26
CUST0154,Male,1,Yes,No,52,Yes,No,No,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),46.33,Yes,2409.16
CUST0155,Female,0,No,No,36,No,No phone service,Fiber optic,No internet service,No,No,No internet service,No,No internet service,One year,No,Electronic check,24.61,No,885.96
CUST0156,Male,1,No,No,16,Yes,No phone service,No,Yes,No internet service,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),76.72,Yes,1227.52
CUST0157,Female,1,No,Yes,0,Yes,No phone service,No,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,No,Mailed check,48.38,No,0.0
CUST0158,Male,0,No,Yes,50,No,No phone service,No,No,No,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,102.45,No,5122.5
CUST0159,Female,0,No,Yes,44,No,No,DSL,No internet service,No,No internet service,No,No,No,Two year,Yes,Electronic check,27.42,No,1206.48
CUST0160,Male,1,No,No,3,No,No phone service,DSL,No internet service,No,No internet service,No internet service,Yes,No,One year,Yes,Mailed check,42.64,No,127.92
CUST0161,Male,0,Yes,No,61,No,No phone service,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,One year,Yes,Mailed check,93.02,No,5674.22
CUST0162,Female,0,Yes,Yes,64,No,Yes,Fiber optic,No internet service,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Mailed check,79.88,No,5112.32
CUST0163,Female,1,Yes,No,31,Yes,No phone service,DSL,Yes,No internet service,No,Yes,Yes,No,One year,No,Mailed check,26.45,No,819.95
CUST0164,Female,0,No,Yes,33,No,No,Fiber optic,Yes,No,No,No internet service,No internet service,Yes,One year,Yes,Mailed check,107.72,Yes,3554.76
CUST0165,Male,0,No,Yes,71,Yes,No,DSL,No,Yes,No,Yes,Yes,No internet service,One year,No,Electronic check,107.73,No,7648.83
CUST0166,Female,1,No,Yes,38,Yes,No,No,Yes,No,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,53.04,Yes,2015.52
CUST0167,Male,1,No,No,25,No,No,Fiber optic,Yes,No internet service,No internet service,Yes,No,No,Two year,Yes,Electronic check,54.04,Yes,1351.0
CUST0168,Male,0,Yes,No,33,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Yes,No internet service,One year,No,Electronic check,118.9,No,3923.7
CUST0169,Female,0,Yes,Yes,53,Yes,No phone service,DSL,Yes,Yes,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,82.62,No,4378.86
CUST0170,Female,1,No,Yes,2,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,73.13,No,146.26
CUST0171,Male,1,Yes,Yes,49,Yes,No,Fiber optic,No,No internet service,No,No,Yes,No internet service,Two year,Yes,Credit card (automatic),103.82,No,5087.18
CUST0172,Male,1,Yes,Yes,11,No,No phone service,No,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,48.53,No,533.83
CUST0173,Female,1,No,No,64,Yes,No,Fiber optic,No,Yes,No,No internet service,Yes,No internet service,One year,No,Mailed check,62.92,Yes,4026.88
CUST0174,Female,0,Yes,No,53,No,Yes,No,No internet service,No internet service,No,No internet service,No internet service,No,Two year,No,Mailed check,46.78,Yes,2479.34
